"region_city","city_name","habitantes","cnae_secao","cnae_divisao","cnae_grupo","cnae_classe","cnae_subclasse","pct_cnae_secao","pct_cnae_divisao","pct_cnae_grupo","pct_cnae_classe","pct_cnae_subclasse"
"7107",SAO PAULO,12252023,21,87,281,668,1279,1.00000000000000000000,1.00000000000000000000,0.98596491228070175439,0.99257057949479940565,0.96237772761474793078
"6001",RIO DE JANEIRO,6718903,21,87,281,667,1248,1.00000000000000000000,1.00000000000000000000,0.98596491228070175439,0.99108469539375928678,0.93905191873589164786
"7535",CURITIBA,1933105,21,87,277,651,1197,1.00000000000000000000,1.00000000000000000000,0.97192982456140350877,0.96731054977711738484,0.90067720090293453725
"8801",PORTO ALEGRE,1483771,21,87,282,654,1197,1.00000000000000000000,1.00000000000000000000,0.98947368421052631579,0.97176820208023774146,0.90067720090293453725
"2531",RECIFE,1645727,21,87,280,655,1187,1.00000000000000000000,1.00000000000000000000,0.98245614035087719298,0.97325408618127786033,0.89315274642588412340
"9701",BRASILIA,3015268,21,87,278,642,1184,1.00000000000000000000,1.00000000000000000000,0.97543859649122807018,0.95393759286775631501,0.89089541008276899925
"4123",BELO HORIZONTE,2512070,21,87,278,652,1183,1.00000000000000000000,1.00000000000000000000,0.97543859649122807018,0.96879643387815750371,0.89014296463506395786
"1389",FORTALEZA,2669342,21,87,276,645,1172,1.00000000000000000000,1.00000000000000000000,0.96842105263157894737,0.95839524517087667162,0.88186606471030850263
"9373",GOIANIA,1516113,21,87,276,646,1171,1.00000000000000000000,1.00000000000000000000,0.96842105263157894737,0.95988112927191679049,0.88111361926260346125
"3849",SALVADOR,2872347,21,87,279,641,1157,1.00000000000000000000,1.00000000000000000000,0.97894736842105263158,0.95245170876671619614,0.87057938299473288187
"255",MANAUS,2182763,21,87,280,637,1155,1.00000000000000000000,1.00000000000000000000,0.98245614035087719298,0.94650817236255572065,0.86907449209932279910
"6291",CAMPINAS,1204073,21,85,271,620,1118,1.00000000000000000000,0.97701149425287356322,0.95087719298245614035,0.92124814264487369985,0.84123401053423626787
"9067",CUIABA,612547,21,87,267,605,1099,1.00000000000000000000,1.00000000000000000000,0.93684210526315789474,0.89895988112927191679,0.82693754702784048157
"427",BELEM,1492745,21,87,273,609,1092,1.00000000000000000000,1.00000000000000000000,0.95789473684210526316,0.90490341753343239227,0.82167042889390519187
"1761",NATAL,884122,21,86,267,596,1075,1.00000000000000000000,0.98850574712643678161,0.93684210526315789474,0.88558692421991084695,0.80887885628291948834
"9051",CAMPO GRANDE,895982,21,86,264,591,1071,1.00000000000000000000,0.98850574712643678161,0.92631578947368421053,0.87815750371471025260,0.80586907449209932280
"7667",LONDRINA,569733,21,84,264,600,1066,1.00000000000000000000,0.96551724137931034483,0.92631578947368421053,0.89153046062407132244,0.80210684725357411588
"5403",UBERLANDIA,691305,21,85,260,590,1063,1.00000000000000000000,0.97701149425287356322,0.91228070175438596491,0.87667161961367013373,0.79984951091045899172
"8599",CAXIAS DO SUL,510906,21,86,267,599,1062,1.00000000000000000000,0.98850574712643678161,0.93684210526315789474,0.89004457652303120357,0.79909706546275395034
"6477",GUARULHOS,1379182,21,84,260,602,1061,1.00000000000000000000,0.96551724137931034483,0.91228070175438596491,0.89450222882615156018,0.79834462001504890895
"6969",RIBEIRAO PRETO,703293,20,83,265,595,1058,0.95238095238095238095,0.95402298850574712644,0.92982456140350877193,0.88410104011887072808,0.79608728367193378480
"7145",SOROCABA,679378,20,83,261,601,1056,0.95238095238095238095,0.95402298850574712644,0.91578947368421052632,0.89301634472511144131,0.79458239277652370203
"921",SAO LUIS,1101884,21,87,267,595,1054,1.00000000000000000000,1.00000000000000000000,0.93684210526315789474,0.88410104011887072808,0.79307750188111361926
"8179",JOINVILLE,590466,20,84,261,594,1038,0.95238095238095238095,0.96551724137931034483,0.91578947368421052632,0.88261515601783060921,0.78103837471783295711
"7691",MARINGA,423666,21,85,258,588,1036,1.00000000000000000000,0.97701149425287356322,0.90526315789473684211,0.87369985141158989599,0.77953348382242287434
"7099",SAO JOSE DOS CAMPOS,721944,21,85,261,580,1032,1.00000000000000000000,0.97701149425287356322,0.91578947368421052632,0.86181277860326894502,0.77652370203160270880
"5833",DUQUE DE CAXIAS,919596,21,86,267,598,1032,1.00000000000000000000,0.98850574712643678161,0.93684210526315789474,0.88855869242199108470,0.77652370203160270880
"7097",SAO JOSE DO RIO PRETO,460671,21,82,255,573,1026,1.00000000000000000000,0.94252873563218390805,0.89473684210526315789,0.85141158989598811293,0.77200902934537246050
"2785",MACEIO,1018948,20,84,261,582,1026,0.95238095238095238095,0.96551724137931034483,0.91578947368421052632,0.86478454680534918276,0.77200902934537246050
"7075",SAO BERNARDO DO CAMPO,838936,21,86,267,598,1025,1.00000000000000000000,0.98850574712643678161,0.93684210526315789474,0.88855869242199108470,0.77125658389766741911
"4371",CONTAGEM,663855,21,87,262,590,1023,1.00000000000000000000,1.00000000000000000000,0.91929824561403508772,0.87667161961367013373,0.76975169300225733634
"2051",JOAO PESSOA,809015,21,85,259,576,1016,1.00000000000000000000,0.97701149425287356322,0.90877192982456140351,0.85586924219910846954,0.76448457486832204665
"5705",VITORIA,362097,21,85,265,577,1015,1.00000000000000000000,0.97701149425287356322,0.92982456140350877193,0.85735512630014858841,0.76373212942061700527
"8105",FLORIANOPOLIS,500973,21,85,263,567,1013,1.00000000000000000000,0.97701149425287356322,0.92280701754385964912,0.84249628528974739970,0.76222723852520692250
